%time,field.x,field.y,field.z
1595000000,0.298503,-1.97507,1.5
1595000000,0.298503,-1.97507,1.5
1599000000,0.298503,-1.97507,1.5
1600000000,0.298503,-1.97507,1.5
1600000000,0.298503,-1.97507,1.5
1600000000,0.298503,-1.97507,1.5
1600000000,0.298503,-1.97507,1.5
1600000000,0.298503,-1.97507,1.5
1600000000,0.298503,-1.97507,1.5
1600000000,0.298503,-1.97507,1.5
1600000000,0.298503,-1.97507,1.5
1600000000,0.298503,-1.97507,1.5
1601000000,0.298503,-1.97507,1.5
1602000000,0.298503,-1.97507,1.5
1603000000,0.298503,-1.97507,1.5
1604000000,0.298503,-1.97507,1.5
1605000000,0.298503,-1.97507,1.5
1606000000,0.298503,-1.97507,1.5
1606000000,0.298503,-1.97507,1.5
1607000000,0.298503,-1.97507,1.5
1609000000,0.298503,-1.97507,1.5
1610000000,0.298503,-1.97507,1.5
1611000000,0.298503,-1.97507,1.5
1612000000,0.298503,-1.97507,1.5
1613000000,0.298503,-1.97507,1.5
1614000000,0.298503,-1.97507,1.5
1615000000,0.298503,-1.97507,1.5
1616000000,0.298503,-1.97507,1.5
1617000000,0.298503,-1.97507,1.5
1618000000,0.298503,-1.97507,1.5
1618000000,0.298503,-1.97507,1.5
1620000000,0.298503,-1.97507,1.5
1621000000,0.298503,-1.97507,1.5
1622000000,0.298503,-1.97507,1.5
1623000000,0.298503,-1.97507,1.5
1624000000,0.298503,-1.97507,1.5
1625000000,0.298503,-1.97507,1.5
1626000000,0.298503,-1.97507,1.5
1627000000,0.298503,-1.97507,1.5
1627000000,0.298503,-1.97507,1.5
1628000000,0.298503,-1.97507,1.5
1630000000,0.298503,-1.97507,1.5
1631000000,0.298503,-1.97507,1.5
1632000000,0.298503,-1.97507,1.5
1633000000,0.298503,-1.97507,1.5
1634000000,0.298503,-1.97507,1.5
1635000000,0.298503,-1.97507,1.5
1636000000,0.298503,-1.97507,1.5
1637000000,0.298503,-1.97507,1.5
1638000000,0.298503,-1.97507,1.5
1639000000,0.298503,-1.97507,1.5
1640000000,0.298503,-1.97507,1.5
1641000000,0.298503,-1.97507,1.5
1641000000,0.298503,-1.97507,1.5
1643000000,0.298503,-1.97507,1.5
1643000000,0.298503,-1.97507,1.5
1645000000,0.298503,-1.97507,1.5
1645000000,0.298503,-1.97507,1.5
1646000000,0.298503,-1.97507,1.5
1648000000,0.298503,-1.97507,1.5
1649000000,0.298503,-1.97507,1.5
1650000000,0.298503,-1.97507,1.5
1651000000,0.298503,-1.97507,1.5
1652000000,0.298503,-1.97507,1.5
1653000000,0.298503,-1.97507,1.5
1654000000,0.298503,-1.97507,1.5
1655000000,0.298503,-1.97507,1.5
1656000000,0.298503,-1.97507,1.5
1657000000,0.298503,-1.97507,1.5
1658000000,0.298503,-1.97507,1.5
1659000000,0.298503,-1.97507,1.5
1660000000,0.298503,-1.97507,1.5
1661000000,0.298503,-1.97507,1.5
1662000000,0.298503,-1.97507,1.5
1663000000,0.298503,-1.97507,1.5
1664000000,0.298503,-1.97507,1.5
1665000000,0.298503,-1.97507,1.5
1666000000,0.298503,-1.97507,1.5
1667000000,0.298503,-1.97507,1.5
1668000000,0.298503,-1.97507,1.5
1669000000,0.298503,-1.97507,1.5
1670000000,0.298503,-1.97507,1.5
1671000000,0.298503,-1.97507,1.5
1671000000,0.298503,-1.97507,1.5
1673000000,0.298503,-1.97507,1.5
1674000000,0.298503,-1.97507,1.5
1674000000,0.298503,-1.97507,1.5
1676000000,0.298503,-1.97507,1.5
1677000000,0.298503,-1.97507,1.5
1677000000,0.298503,-1.97507,1.5
1678000000,0.298503,-1.97507,1.5
1680000000,0.298503,-1.97507,1.5
1681000000,0.298503,-1.97507,1.5
1682000000,0.298503,-1.97507,1.5
1683000000,0.298503,-1.97507,1.5
1684000000,0.298503,-1.97507,1.5
1685000000,0.298503,-1.97507,1.5
1686000000,0.298503,-1.97507,1.5
1687000000,0.298503,-1.97507,1.5
1688000000,0.298503,-1.97507,1.5
1688000000,0.298503,-1.97507,1.5
1690000000,0.298503,-1.97507,1.5
1690000000,0.298503,-1.97507,1.5
1692000000,0.298503,-1.97507,1.5
1693000000,0.298503,-1.97507,1.5
1694000000,0.298503,-1.97507,1.5
1695000000,0.298503,-1.97507,1.5
1696000000,0.298503,-1.97507,1.5
1697000000,0.298503,-1.97507,1.5
1698000000,0.298503,-1.97507,1.5
1699000000,0.298503,-1.97507,1.5
1700000000,0.298503,-1.97507,1.5
