%time,field.x,field.y,field.z
1000000,0.298503,-1.97507,1.5
2000000,0.298503,-1.97507,1.5
3000000,0.298503,-1.97507,1.5
4000000,0.298503,-1.97507,1.5
4000000,0.298503,-1.97507,1.5
6000000,0.298503,-1.97507,1.5
7000000,0.298503,-1.97507,1.5
8000000,0.298503,-1.97507,1.5
9000000,0.298503,-1.97507,1.5
10000000,0.298503,-1.97507,1.5
11000000,0.298503,-1.97507,1.5
12000000,0.298503,-1.97507,1.5
13000000,0.298503,-1.97507,1.5
14000000,0.298503,-1.97507,1.5
15000000,0.298503,-1.97507,1.5
16000000,0.298503,-1.97507,1.5
17000000,0.298503,-1.97507,1.5
18000000,0.298503,-1.97507,1.5
19000000,0.298503,-1.97507,1.5
20000000,0.298503,-1.97507,1.5
21000000,0.298503,-1.97507,1.5
22000000,0.298503,-1.97507,1.5
23000000,0.298503,-1.97507,1.5
24000000,0.298503,-1.97507,1.5
25000000,0.298503,-1.97507,1.5
26000000,0.298503,-1.97507,1.5
27000000,0.298503,-1.97507,1.5
28000000,0.298503,-1.97507,1.5
29000000,0.298503,-1.97507,1.5
29000000,0.298503,-1.97507,1.5
31000000,0.298503,-1.97507,1.5
32000000,0.298503,-1.97507,1.5
33000000,0.298503,-1.97507,1.5
34000000,0.298503,-1.97507,1.5
35000000,0.298503,-1.97507,1.5
35000000,0.298503,-1.97507,1.5
35000000,0.298503,-1.97507,1.5
38000000,0.298503,-1.97507,1.5
39000000,0.298503,-1.97507,1.5
39000000,0.298503,-1.97507,1.5
41000000,0.298503,-1.97507,1.5
42000000,0.298503,-1.97507,1.5
43000000,0.298503,-1.97507,1.5
44000000,0.298503,-1.97507,1.5
45000000,0.298503,-1.97507,1.5
46000000,0.298503,-1.97507,1.5
47000000,0.298503,-1.97507,1.5
48000000,0.298503,-1.97507,1.5
49000000,0.298503,-1.97507,1.5
50000000,0.298503,-1.97507,1.5
51000000,0.298503,-1.97507,1.5
52000000,0.298503,-1.97507,1.5
53000000,0.298503,-1.97507,1.5
54000000,0.298503,-1.97507,1.5
55000000,0.298503,-1.97507,1.5
56000000,0.298503,-1.97507,1.5
57000000,0.298503,-1.97507,1.5
58000000,0.298503,-1.97507,1.5
59000000,0.298503,-1.97507,1.5
60000000,0.298503,-1.97507,1.5
60000000,0.298503,-1.97507,1.5
62000000,0.298503,-1.97507,1.5
63000000,0.298503,-1.97507,1.5
64000000,0.298503,-1.97507,1.5
65000000,0.298503,-1.97507,1.5
66000000,0.298503,-1.97507,1.5
67000000,0.298503,-1.97507,1.5
68000000,0.298503,-1.97507,1.5
69000000,0.298503,-1.97507,1.5
69000000,0.298503,-1.97507,1.5
71000000,0.298503,-1.97507,1.5
72000000,0.298503,-1.97507,1.5
72000000,0.298503,-1.97507,1.5
73000000,0.298503,-1.97507,1.5
75000000,0.298503,-1.97507,1.5
75000000,0.298503,-1.97507,1.5
76000000,0.298503,-1.97507,1.5
78000000,0.298503,-1.97507,1.5
79000000,0.298503,-1.97507,1.5
80000000,0.298503,-1.97507,1.5
80000000,0.298503,-1.97507,1.5
82000000,0.298503,-1.97507,1.5
83000000,0.298503,-1.97507,1.5
83000000,0.298503,-1.97507,1.5
85000000,0.298503,-1.97507,1.5
86000000,0.298503,-1.97507,1.5
87000000,0.298503,-1.97507,1.5
87000000,0.298503,-1.97507,1.5
89000000,0.298503,-1.97507,1.5
90000000,0.298503,-1.97507,1.5
91000000,0.298503,-1.97507,1.5
92000000,0.298503,-1.97507,1.5
93000000,0.298503,-1.97507,1.5
93000000,0.298503,-1.97507,1.5
94000000,0.298503,-1.97507,1.5
96000000,0.298503,-1.97507,1.5
97000000,0.298503,-1.97507,1.5
98000000,0.298503,-1.97507,1.5
99000000,0.298503,-1.97507,1.5
100000000,0.298503,-1.97507,1.5
101000000,0.298503,-1.97507,1.5
102000000,0.298503,-1.97507,1.5
103000000,0.298503,-1.97507,1.5
104000000,0.298503,-1.97507,1.5
105000000,0.298503,-1.97507,1.5
106000000,0.298503,-1.97507,1.5
107000000,0.298503,-1.97507,1.5
108000000,0.298503,-1.97507,1.5
108000000,0.298503,-1.97507,1.5
110000000,0.298503,-1.97507,1.5
111000000,0.298503,-1.97507,1.5
112000000,0.298503,-1.97507,1.5
113000000,0.298503,-1.97507,1.5
114000000,0.298503,-1.97507,1.5
115000000,0.298503,-1.97507,1.5
116000000,0.298503,-1.97507,1.5
117000000,0.298503,-1.97507,1.5
118000000,0.298503,-1.97507,1.5
119000000,0.298503,-1.97507,1.5
120000000,0.298503,-1.97507,1.5
121000000,0.298503,-1.97507,1.5
122000000,0.298503,-1.97507,1.5
122000000,0.298503,-1.97507,1.5
124000000,0.298503,-1.97507,1.5
125000000,0.298503,-1.97507,1.5
125000000,0.298503,-1.97507,1.5
127000000,0.298503,-1.97507,1.5
128000000,0.298503,-1.97507,1.5
129000000,0.298503,-1.97507,1.5
130000000,0.298503,-1.97507,1.5
131000000,0.298503,-1.97507,1.5
132000000,0.298503,-1.97507,1.5
133000000,0.298503,-1.97507,1.5
133000000,0.298503,-1.97507,1.5
135000000,0.298503,-1.97507,1.5
136000000,0.298503,-1.97507,1.5
137000000,0.298503,-1.97507,1.5
