%time,field0,field1
7831000000,27.042224646,-3.00001543626
7831000000,27.0448493799,-3.00018761312
7831000000,27.0448493799,-3.00018761312
7831000000,27.047465058,-3.00036144512
7831000000,27.0500717201,-3.00053691286
7831000000,27.0526692569,-3.00071399702
7831000000,27.0578369688,-3.00107293694
7832000000,27.0578369688,-3.00107293694
7833000000,27.062967927,-3.00143810982
7833000000,27.062967927,-3.00143810982
7835000000,27.0655195612,-3.00162298513
7836000000,27.0705949059,-3.00199721667
7837000000,27.0705949059,-3.00199721667
7838000000,27.075632863,-3.00237729365
7838000000,27.075632863,-3.00237729365
7839000000,27.078137765,-3.00256947578
7841000000,27.0806331929,-3.00276306128
7842000000,27.0855956628,-3.00315436509
7842000000,27.0855956628,-3.00315436509
7844000000,27.0880626484,-3.00335204486
7844000000,27.0905200471,-3.00355105094
7846000000,27.0929679076,-3.00375136407
7847000000,27.0954061275,-3.00395296513
7847000000,27.0978347564,-3.00415583494
7849000000,27.1026629872,-3.00456530454
7849000000,27.1026629872,-3.00456530454
7850000000,27.105062539,-3.00477186624
7851000000,27.1074523995,-3.00497962052
7853000000,27.1098324691,-3.00518854848
7853000000,27.1122027999,-3.00539863119
7854000000,27.1145632931,-3.00560984984
7856000000,27.1169140018,-3.00582218559
7857000000,27.119254828,-3.00603561974
7857000000,27.1215858255,-3.00625013355
7859000000,27.1239068973,-3.00646570842
7860000000,27.1285193317,-3.00689996701
7860000000,27.1285193317,-3.00689996701
7862000000,27.1330919682,-3.00733824755
7862000000,27.1330919682,-3.00733824755
7864000000,27.1353633321,-3.00755885007
7865000000,27.1398759802,-3.00800288834
7866000000,27.1398759802,-3.00800288834
7867000000,27.144348452,-3.00845058311
7867000000,27.144348452,-3.00845058311
7868000000,27.1465695965,-3.00867575654
7870000000,27.1487806075,-3.0089017901
7871000000,27.1531723128,-3.00935636618
7871000000,27.1531723128,-3.00935636618
7873000000,27.1553529751,-3.00958487323
7874000000,27.1596837677,-3.01004423724
7874000000,27.1596837677,-3.01004423724
7876000000,27.1618338686,-3.01027505921
7877000000,27.1639738027,-3.01050661791
