%time,field.x,field.y,field.z
5000000,5.92878775009e-323,1.24965802439e-316,1.5
6000000,5.92878775009e-323,1.24965802439e-316,1.5
6000000,5.92878775009e-323,1.24965802439e-316,1.5
6000000,5.92878775009e-323,1.24965802439e-316,1.5
6000000,5.92878775009e-323,1.24965802439e-316,1.5
6000000,5.92878775009e-323,1.24965802439e-316,1.5
7000000,5.92878775009e-323,1.24965802439e-316,1.5
8000000,5.92878775009e-323,1.24965802439e-316,1.5
9000000,5.92878775009e-323,1.24965802439e-316,1.5
9000000,5.92878775009e-323,1.24965802439e-316,1.5
11000000,5.92878775009e-323,1.24965802439e-316,1.5
12000000,5.92878775009e-323,1.24965802439e-316,1.5
13000000,5.92878775009e-323,1.24965802439e-316,1.5
14000000,5.92878775009e-323,1.24965802439e-316,1.5
15000000,5.92878775009e-323,1.24965802439e-316,1.5
16000000,5.92878775009e-323,1.24965802439e-316,1.5
17000000,5.92878775009e-323,1.24965802439e-316,1.5
18000000,5.92878775009e-323,1.24965802439e-316,1.5
18000000,5.92878775009e-323,1.24965802439e-316,1.5
20000000,5.92878775009e-323,1.24965802439e-316,1.5
21000000,5.92878775009e-323,1.24965802439e-316,1.5
22000000,5.92878775009e-323,1.24965802439e-316,1.5
23000000,5.92878775009e-323,1.24965802439e-316,1.5
24000000,5.92878775009e-323,1.24965802439e-316,1.5
25000000,5.92878775009e-323,1.24965802439e-316,1.5
26000000,5.92878775009e-323,1.24965802439e-316,1.5
27000000,5.92878775009e-323,1.24965802439e-316,1.5
28000000,5.92878775009e-323,1.24965802439e-316,1.5
29000000,5.92878775009e-323,1.24965802439e-316,1.5
30000000,5.92878775009e-323,1.24965802439e-316,1.5
31000000,5.92878775009e-323,1.24965802439e-316,1.5
32000000,5.92878775009e-323,1.24965802439e-316,1.5
32000000,5.92878775009e-323,1.24965802439e-316,1.5
34000000,5.92878775009e-323,1.24965802439e-316,1.5
35000000,5.92878775009e-323,1.24965802439e-316,1.5
36000000,5.92878775009e-323,1.24965802439e-316,1.5
37000000,5.92878775009e-323,1.24965802439e-316,1.5
38000000,5.92878775009e-323,1.24965802439e-316,1.5
39000000,5.92878775009e-323,1.24965802439e-316,1.5
39000000,5.92878775009e-323,1.24965802439e-316,1.5
40000000,5.92878775009e-323,1.24965802439e-316,1.5
42000000,5.92878775009e-323,1.24965802439e-316,1.5
42000000,5.92878775009e-323,1.24965802439e-316,1.5
44000000,5.92878775009e-323,1.24965802439e-316,1.5
45000000,5.92878775009e-323,1.24965802439e-316,1.5
46000000,5.92878775009e-323,1.24965802439e-316,1.5
46000000,5.92878775009e-323,1.24965802439e-316,1.5
47000000,5.92878775009e-323,1.24965802439e-316,1.5
49000000,5.92878775009e-323,1.24965802439e-316,1.5
49000000,5.92878775009e-323,1.24965802439e-316,1.5
51000000,5.92878775009e-323,1.24965802439e-316,1.5
52000000,5.92878775009e-323,1.24965802439e-316,1.5
53000000,5.92878775009e-323,1.24965802439e-316,1.5
54000000,5.92878775009e-323,1.24965802439e-316,1.5
55000000,5.92878775009e-323,1.24965802439e-316,1.5
55000000,5.92878775009e-323,1.24965802439e-316,1.5
57000000,5.92878775009e-323,1.24965802439e-316,1.5
58000000,5.92878775009e-323,1.24965802439e-316,1.5
59000000,5.92878775009e-323,1.24965802439e-316,1.5
60000000,5.92878775009e-323,1.24965802439e-316,1.5
61000000,5.92878775009e-323,1.24965802439e-316,1.5
61000000,5.92878775009e-323,1.24965802439e-316,1.5
63000000,5.92878775009e-323,1.24965802439e-316,1.5
64000000,5.92878775009e-323,1.24965802439e-316,1.5
65000000,5.92878775009e-323,1.24965802439e-316,1.5
66000000,5.92878775009e-323,1.24965802439e-316,1.5
66000000,5.92878775009e-323,1.24965802439e-316,1.5
67000000,5.92878775009e-323,1.24965802439e-316,1.5
69000000,5.92878775009e-323,1.24965802439e-316,1.5
70000000,5.92878775009e-323,1.24965802439e-316,1.5
71000000,5.92878775009e-323,1.24965802439e-316,1.5
72000000,5.92878775009e-323,1.24965802439e-316,1.5
73000000,5.92878775009e-323,1.24965802439e-316,1.5
74000000,5.92878775009e-323,1.24965802439e-316,1.5
75000000,5.92878775009e-323,1.24965802439e-316,1.5
76000000,5.92878775009e-323,1.24965802439e-316,1.5
77000000,5.92878775009e-323,1.24965802439e-316,1.5
78000000,5.92878775009e-323,1.24965802439e-316,1.5
79000000,5.92878775009e-323,1.24965802439e-316,1.5
80000000,5.92878775009e-323,1.24965802439e-316,1.5
81000000,5.92878775009e-323,1.24965802439e-316,1.5
81000000,5.92878775009e-323,1.24965802439e-316,1.5
82000000,5.92878775009e-323,1.24965802439e-316,1.5
84000000,5.92878775009e-323,1.24965802439e-316,1.5
85000000,5.92878775009e-323,1.24965802439e-316,1.5
86000000,5.92878775009e-323,1.24965802439e-316,1.5
87000000,5.92878775009e-323,1.24965802439e-316,1.5
88000000,5.92878775009e-323,1.24965802439e-316,1.5
89000000,5.92878775009e-323,1.24965802439e-316,1.5
89000000,5.92878775009e-323,1.24965802439e-316,1.5
90000000,5.92878775009e-323,1.24965802439e-316,1.5
92000000,5.92878775009e-323,1.24965802439e-316,1.5
93000000,5.92878775009e-323,1.24965802439e-316,1.5
94000000,5.92878775009e-323,1.24965802439e-316,1.5
95000000,5.92878775009e-323,1.24965802439e-316,1.5
95000000,5.92878775009e-323,1.24965802439e-316,1.5
95000000,5.92878775009e-323,1.24965802439e-316,1.5
95000000,5.92878775009e-323,1.24965802439e-316,1.5
95000000,5.92878775009e-323,1.24965802439e-316,1.5
99000000,5.92878775009e-323,1.24965802439e-316,1.5
99000000,5.92878775009e-323,1.24965802439e-316,1.5
99000000,5.92878775009e-323,1.24965802439e-316,1.5
102000000,5.92878775009e-323,1.24965802439e-316,1.5
104000000,5.92878775009e-323,1.24965802439e-316,1.5
105000000,5.92878775009e-323,1.24965802439e-316,1.5
106000000,5.92878775009e-323,1.24965802439e-316,1.5
106000000,5.92878775009e-323,1.24965802439e-316,1.5
108000000,5.92878775009e-323,1.24965802439e-316,1.5
109000000,5.92878775009e-323,1.24965802439e-316,1.5
110000000,5.92878775009e-323,1.24965802439e-316,1.5
111000000,5.92878775009e-323,1.24965802439e-316,1.5
112000000,5.92878775009e-323,1.24965802439e-316,1.5
112000000,5.92878775009e-323,1.24965802439e-316,1.5
112000000,5.92878775009e-323,1.24965802439e-316,1.5
112000000,5.92878775009e-323,1.24965802439e-316,1.5
112000000,5.92878775009e-323,1.24965802439e-316,1.5
112000000,5.92878775009e-323,1.24965802439e-316,1.5
112000000,5.92878775009e-323,1.24965802439e-316,1.5
112000000,5.92878775009e-323,1.24965802439e-316,1.5
121000000,5.92878775009e-323,1.24965802439e-316,1.5
121000000,5.92878775009e-323,1.24965802439e-316,1.5
121000000,5.92878775009e-323,1.24965802439e-316,1.5
123000000,5.92878775009e-323,1.24965802439e-316,1.5
124000000,5.92878775009e-323,1.24965802439e-316,1.5
125000000,5.92878775009e-323,1.24965802439e-316,1.5
126000000,5.92878775009e-323,1.24965802439e-316,1.5
126000000,5.92878775009e-323,1.24965802439e-316,1.5
128000000,5.92878775009e-323,1.24965802439e-316,1.5
129000000,5.92878775009e-323,1.24965802439e-316,1.5
130000000,5.92878775009e-323,1.24965802439e-316,1.5
131000000,5.92878775009e-323,1.24965802439e-316,1.5
131000000,5.92878775009e-323,1.24965802439e-316,1.5
133000000,5.92878775009e-323,1.24965802439e-316,1.5
134000000,5.92878775009e-323,1.24965802439e-316,1.5
135000000,5.92878775009e-323,1.24965802439e-316,1.5
136000000,5.92878775009e-323,1.24965802439e-316,1.5
137000000,5.92878775009e-323,1.24965802439e-316,1.5
