%time,field.x,field.y,field.z
12000000,0.298502747442,-1.97507074312,1.5
12000000,0.298502748099,-1.97507074296,1.5
12000000,0.298502749888,-1.97507074256,1.5
12000000,0.298502752806,-1.97507074191,1.5
12000000,0.298502756842,-1.97507074102,1.5
12000000,0.298502761984,-1.97507073989,1.5
12000000,0.298502768217,-1.97507073852,1.5
12000000,0.298502775523,-1.97507073693,1.5
12000000,0.298502783879,-1.9750707351,1.5
12000000,0.298502793262,-1.97507073305,1.5
12000000,0.298502803642,-1.97507073078,1.5
13000000,0.298502814991,-1.97507072831,1.5
13000000,0.298502827274,-1.97507072563,1.5
14000000,0.298502840456,-1.97507072275,1.5
15000000,0.298502854498,-1.97507071969,1.5
16000000,0.298502869358,-1.97507071644,1.5
17000000,0.298502884994,-1.97507071302,1.5
18000000,0.29850290136,-1.97507070945,1.5
19000000,0.298502918407,-1.97507070572,1.5
20000000,0.298502936087,-1.97507070185,1.5
20000000,0.298502954347,-1.97507069785,1.5
21000000,0.298502973135,-1.97507069373,1.5
24000000,0.298502992396,-1.9750706895,1.5
24000000,0.298503012074,-1.97507068518,1.5
25000000,0.298503032111,-1.97507068077,1.5
26000000,0.298503052448,-1.97507067629,1.5
27000000,0.298503073026,-1.97507067175,1.5
28000000,0.298503093783,-1.97507066716,1.5
29000000,0.298503114659,-1.97507066254,1.5
30000000,0.298503135592,-1.9750706579,1.5
31000000,0.29850315652,-1.97507065325,1.5
31000000,0.298503177383,-1.9750706486,1.5
32000000,0.298503198118,-1.97507064397,1.5
34000000,0.298503218664,-1.97507063937,1.5
35000000,0.298503238962,-1.9750706348,1.5
36000000,0.298503258951,-1.9750706303,1.5
36000000,0.298503278573,-1.97507062586,1.5
38000000,0.298503297769,-1.9750706215,1.5
39000000,0.298503316484,-1.97507061723,1.5
40000000,0.298503334663,-1.97507061305,1.5
41000000,0.298503352252,-1.975070609,1.5
42000000,0.2985033692,-1.97507060506,1.5
43000000,0.298503385456,-1.97507060126,1.5
44000000,0.298503400975,-1.9750705976,1.5
45000000,0.298503415709,-1.9750705941,1.5
46000000,0.298503429617,-1.97507059076,1.5
47000000,0.298503442657,-1.97507058758,1.5
48000000,0.298503454791,-1.97507058459,1.5
48000000,0.298503465985,-1.97507058178,1.5
50000000,0.298503476205,-1.97507057916,1.5
51000000,0.298503485422,-1.97507057675,1.5
52000000,0.298503493609,-1.97507057453,1.5
53000000,0.298503500743,-1.97507057253,1.5
53000000,0.298503506803,-1.97507057073,1.5
54000000,0.298503511771,-1.97507056916,1.5
56000000,0.298503515634,-1.9750705678,1.5
56000000,0.29850351838,-1.97507056667,1.5
57000000,0.298503520002,-1.97507056576,1.5
59000000,0.298503520495,-1.97507056507,1.5
59000000,0.298503519858,-1.97507056461,1.5
61000000,0.298503518094,-1.97507056437,1.5
62000000,0.298503515208,-1.97507056436,1.5
63000000,0.298503511208,-1.97507056456,1.5
64000000,0.298503506107,-1.97507056499,1.5
65000000,0.298503499919,-1.97507056563,1.5
66000000,0.298503492663,-1.97507056649,1.5
67000000,0.29850348436,-1.97507056755,1.5
68000000,0.298503475035,-1.97507056881,1.5
69000000,0.298503464715,-1.97507057027,1.5
70000000,0.29850345343,-1.97507057192,1.5
71000000,0.298503441213,-1.97507057376,1.5
72000000,0.298503428099,-1.97507057577,1.5
72000000,0.298503414127,-1.97507057795,1.5
74000000,0.298503399337,-1.97507058029,1.5
75000000,0.298503383772,-1.97507058278,1.5
76000000,0.298503367478,-1.97507058542,1.5
77000000,0.298503350501,-1.97507058818,1.5
78000000,0.29850333289,-1.97507059107,1.5
79000000,0.298503314697,-1.97507059407,1.5
80000000,0.298503295974,-1.97507059717,1.5
81000000,0.298503276775,-1.97507060036,1.5
82000000,0.298503257155,-1.97507060362,1.5
83000000,0.298503237172,-1.97507060695,1.5
83000000,0.298503216882,-1.97507061034,1.5
85000000,0.298503196344,-1.97507061377,1.5
85000000,0.298503175617,-1.97507061723,1.5
87000000,0.29850315476,-1.9750706207,1.5
87000000,0.298503133835,-1.97507062418,1.5
89000000,0.2985031129,-1.97507062766,1.5
90000000,0.298503092016,-1.97507063111,1.5
91000000,0.298503071244,-1.97507063453,1.5
92000000,0.298503050641,-1.97507063791,1.5
93000000,0.298503030269,-1.97507064123,1.5
94000000,0.298503010185,-1.97507064448,1.5
95000000,0.298502990447,-1.97507064765,1.5
96000000,0.298502971112,-1.97507065072,1.5
97000000,0.298502952235,-1.97507065369,1.5
98000000,0.298502933873,-1.97507065655,1.5
99000000,0.298502916077,-1.97507065928,1.5
100000000,0.2985028989,-1.97507066187,1.5
101000000,0.298502882392,-1.97507066431,1.5
101000000,0.298502866599,-1.9750706666,1.5
101000000,0.298502851567,-1.97507066872,1.5
104000000,0.298502837341,-1.97507067066,1.5
104000000,0.29850282396,-1.97507067242,1.5
105000000,0.298502811463,-1.97507067398,1.5
105000000,0.298502799886,-1.97507067535,1.5
105000000,0.298502789261,-1.97507067651,1.5
105000000,0.29850277962,-1.97507067745,1.5
105000000,0.298502770989,-1.97507067818,1.5
105000000,0.298502763392,-1.97507067868,1.5
105000000,0.298502756851,-1.97507067896,1.5
105000000,0.298502751384,-1.975070679,1.5
105000000,0.298502747006,-1.97507067881,1.5
105000000,0.298502743729,-1.97507067838,1.5
115000000,0.298502741561,-1.97507067771,1.5
116000000,0.298502740508,-1.9750706768,1.5
117000000,0.298502740571,-1.97507067565,1.5
117000000,0.298502771767,-1.97507066097,1.5
125000000,0.298502780448,-1.97507065797,1.5
127000000,0.29850279012,-1.97507065474,1.5
128000000,0.298502800754,-1.97507065131,1.5
129000000,0.298502812318,-1.97507064768,1.5
130000000,0.298502824777,-1.97507064385,1.5
131000000,0.298502838093,-1.97507063984,1.5
134000000,0.298502852229,-1.97507063564,1.5
134000000,0.298502867141,-1.97507063128,1.5
136000000,0.298502882785,-1.97507062676,1.5
136000000,0.298502916083,-1.97507061727,1.5
137000000,0.298502933639,-1.97507061232,1.5
138000000,0.29850295173,-1.97507060726,1.5
139000000,0.298502970304,-1.97507060208,1.5
140000000,0.298502989305,-1.97507059681,1.5
141000000,0.298503008679,-1.97507059146,1.5
142000000,0.298503028367,-1.97507058603,1.5
143000000,0.298503048311,-1.97507058053,1.5
144000000,0.298503068452,-1.97507057499,1.5
145000000,0.298503088729,-1.97507056941,1.5
146000000,0.298503109083,-1.97507056381,1.5
147000000,0.298503129454,-1.9750705582,1.5
148000000,0.298503149779,-1.97507055258,1.5
149000000,0.298503169999,-1.97507054698,1.5
150000000,0.298503190054,-1.97507054141,1.5
151000000,0.298503209884,-1.97507053587,1.5
152000000,0.298503229431,-1.97507053039,1.5
153000000,0.298503248635,-1.97507052496,1.5
154000000,0.298503267441,-1.97507051961,1.5
155000000,0.298503285792,-1.97507051435,1.5
156000000,0.298503303633,-1.97507050919,1.5
157000000,0.298503320913,-1.97507050413,1.5
158000000,0.298503337578,-1.97507049919,1.5
159000000,0.298503353581,-1.97507049438,1.5
160000000,0.298503368873,-1.97507048972,1.5
161000000,0.29850338341,-1.9750704852,1.5
162000000,0.298503397147,-1.97507048083,1.5
163000000,0.298503410045,-1.97507047664,1.5
164000000,0.298503422064,-1.97507047261,1.5
165000000,0.29850343317,-1.97507046877,1.5
165000000,0.29850344333,-1.97507046512,1.5
167000000,0.298503452512,-1.97507046166,1.5
168000000,0.298503460691,-1.97507045841,1.5
169000000,0.298503467842,-1.97507045535,1.5
170000000,0.298503473943,-1.97507045251,1.5
171000000,0.298503478976,-1.97507044988,1.5
171000000,0.298503482927,-1.97507044747,1.5
173000000,0.298503485783,-1.97507044528,1.5
174000000,0.298503487536,-1.97507044331,1.5
175000000,0.29850348818,-1.97507044156,1.5
176000000,0.298503487713,-1.97507044003,1.5
177000000,0.298503486136,-1.97507043873,1.5
178000000,0.298503483454,-1.97507043764,1.5
179000000,0.298503479674,-1.97507043678,1.5
180000000,0.298503474806,-1.97507043614,1.5
181000000,0.298503468865,-1.97507043571,1.5
182000000,0.298503461867,-1.97507043549,1.5
183000000,0.298503453833,-1.97507043548,1.5
184000000,0.298503444784,-1.97507043567,1.5
185000000,0.298503434748,-1.97507043606,1.5
186000000,0.298503423752,-1.97507043664,1.5
187000000,0.298503411829,-1.97507043741,1.5
188000000,0.298503399012,-1.97507043835,1.5
189000000,0.298503385338,-1.97507043946,1.5
190000000,0.298503370846,-1.97507044074,1.5
191000000,0.298503355578,-1.97507044217,1.5
192000000,0.298503339577,-1.97507044374,1.5
193000000,0.298503322889,-1.97507044545,1.5
194000000,0.298503305561,-1.97507044729,1.5
195000000,0.298503287644,-1.97507044924,1.5
196000000,0.298503269188,-1.97507045129,1.5
197000000,0.298503250246,-1.97507045344,1.5
198000000,0.298503230872,-1.97507045567,1.5
198000000,0.298503211122,-1.97507045797,1.5
200000000,0.298503191051,-1.97507046033,1.5
201000000,0.298503170717,-1.97507046274,1.5
202000000,0.298503150178,-1.97507046518,1.5
203000000,0.298503129493,-1.97507046765,1.5
204000000,0.298503108719,-1.97507047013,1.5
205000000,0.298503087917,-1.9750704726,1.5
206000000,0.298503067146,-1.97507047507,1.5
207000000,0.298503046465,-1.97507047751,1.5
208000000,0.298503025932,-1.9750704799,1.5
209000000,0.298503005606,-1.97507048225,1.5
211000000,0.298502985545,-1.97507048454,1.5
211000000,0.298502965806,-1.97507048676,1.5
212000000,0.298502946446,-1.97507048888,1.5
212000000,0.298502927522,-1.97507049092,1.5
214000000,0.298502909086,-1.97507049284,1.5
215000000,0.298502891192,-1.97507049464,1.5
216000000,0.298502873892,-1.97507049632,1.5
217000000,0.298502857235,-1.97507049785,1.5
218000000,0.298502841268,-1.97507049923,1.5
219000000,0.298502826037,-1.97507050046,1.5
220000000,0.298502811585,-1.97507050151,1.5
221000000,0.298502797953,-1.97507050239,1.5
222000000,0.298502785181,-1.97507050309,1.5
223000000,0.298502773303,-1.97507050359,1.5
224000000,0.298502762353,-1.97507050389,1.5
225000000,0.298502752362,-1.97507050399,1.5
226000000,0.298502743358,-1.97507050387,1.5
227000000,0.298502735365,-1.97507050354,1.5
228000000,0.298502728406,-1.97507050299,1.5
229000000,0.298502722499,-1.97507050222,1.5
230000000,0.298502717659,-1.97507050121,1.5
231000000,0.2985027139,-1.97507049998,1.5
